,City,Country,Lat,Long,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,3.07,172.79,1592425905,82.67,76,1,13.35
1,Nizhniy Kuranakh,RU,58.84,125.49,1592425905,59.49,79,53,2.33
2,Kapaa,US,22.08,-159.32,1592425905,80.6,74,75,14.99
3,Malanje,AO,-9.54,16.34,1592425905,60.57,44,0,2.98
4,Airai,TL,-8.93,125.41,1592425905,55.26,100,29,4.72
5,Hong Kong,HK,22.29,114.16,1592425122,84.0,70,5,8.99
6,Norman Wells,CA,65.28,-126.83,1592425332,80.6,36,40,13.87
7,Busselton,AU,-33.65,115.33,1592425906,51.01,58,9,19.66
8,Port Lincoln,AU,-34.73,135.87,1592425355,55.92,63,0,19.33
9,Ponta do Sol,PT,32.67,-17.1,1592425734,69.01,72,40,12.75
10,College,US,64.86,-147.8,1592425351,75.0,37,40,3.36
11,Rikitea,PF,-23.12,-134.97,1592425726,75.54,78,29,17.65
12,Ketchikan,US,55.34,-131.65,1592425822,62.6,51,90,14.99
13,Ushuaia,AR,-54.8,-68.3,1592425907,37.4,74,40,3.36
14,La Ronge,CA,55.1,-105.28,1592425907,50.0,71,90,19.46
15,Digby,CA,44.62,-65.77,1592425865,70.0,59,4,17.0
16,Great Yarmouth,GB,52.61,1.73,1592425907,57.0,99,71,5.01
17,Iqaluit,CA,63.75,-68.51,1592425908,41.0,60,90,10.29
18,Lata,PT,40.16,-8.33,1592425790,63.0,75,0,4.79
19,Kaitangata,NZ,-46.28,169.85,1592425316,43.0,62,12,5.99
20,Lyudinovo,RU,53.87,34.45,1592425908,61.88,93,28,5.12
21,Itarema,BR,-2.92,-39.92,1592425908,77.76,85,3,10.4
22,Gladstone,AU,-23.85,151.25,1592425909,64.4,63,97,8.05
23,Jamestown,US,42.1,-79.24,1592425909,79.0,39,1,8.05
24,Carnduff,CA,49.17,-101.8,1592425909,72.0,66,0,7.0
25,Atuona,PF,-9.8,-139.03,1592425310,80.53,70,0,15.86
26,Hamilton,US,39.18,-84.53,1592425804,82.99,39,20,11.41
27,Punta Arenas,CL,-53.15,-70.92,1592425728,32.0,81,0,5.82
